ecg_reposo,ecg_ejercicio
-0.08234623846000069,-0.042684369107945215
-0.08123933990884068,-0.046510394934930636
-0.08010549812545567,-0.047604778545059324
-0.08130449476956472,-0.04483715142302955
-0.08909311730966865,-0.03467935087521711
-0.10301952119747688,-0.018754315034917292
-0.11998871398991441,-0.0022870873974180483
-0.13653758469947103,0.009949625349697303
-0.14795949444283435,0.012355690257598894
-0.15294490059935906,0.0029504828997418456
-0.15221746260242638,-0.016560336280186175
-0.14612083999386036,-0.04241418702377804
-0.1363409899845305,-0.06900954347593008
-0.12341606219656938,-0.0937008311765705
-0.10772496356985409,-0.11504744845400139
-0.09223475734777635,-0.13071161470855847
-0.07972815877157362,-0.13960384169061146
-0.07190061570742039,-0.1394940692982731
-0.06947710217742843,-0.12917266623869517
-0.06970875655213384,-0.11272572735200322
-0.07040940510687543,-0.09511266015142289
-0.07604057711151739,-0.07927566278629351
-0.0894973411847783,-0.0679142443752409
-0.10459746073920062,-0.06114927015622621
-0.116054651563634,-0.057755102343685694
-0.12466171923844416,-0.05964709670884221
-0.1301165794348476,-0.06808663167173301
-0.1312513170198947,-0.08131490844832184
-0.12873999996513713,-0.09764893505946344
-0.1218887274878431,-0.11483359910624032
-0.10995367468645603,-0.1302795846229493
-0.09483491391811985,-0.14387867789265016
-0.07852162643497732,-0.15580954255591326
-0.06218175902936957,-0.16414987965186015
-0.04734140445860459,-0.16735472314994101
-0.03498902186865721,-0.1646811918266934
-0.025225752044933835,-0.15559661371875047
-0.017782362748569418,-0.14164160068716083
-0.011114241201165517,-0.12592895573215107
-0.0016653723015702785,-0.11215684481018437
0.014285589054048463,-0.10421171999544084
0.03859870666088528,-0.10394157110058092
0.07129001770882462,-0.11056750487015557
0.10915474271080614,-0.11999409495352559
0.14793953022689213,-0.1286424093879908
0.18718819961560723,-0.14069309578975533
0.22777205137548504,-0.15859040434966581
0.27113866575148465,-0.17287297171622107
0.31935837800445704,-0.1763270524913781
0.3700472746605276,-0.17290793495699136
0.4184864598654549,-0.16527177247231378
0.46003614989240915,-0.1514509471864021
0.48965748979133683,-0.13154788413906532
0.506565736118645,-0.10475202088486378
0.5138386825427044,-0.07101361715441842
0.5170601302317348,-0.03886420739916749
0.5222376872005822,-0.016538641840007133
0.5283216074554171,-0.0026171179562961746
0.5283585303389439,0.004409218444109053
0.5097332696753193,0.002515672407054122
0.4630492206916935,-0.006979506219840355
0.40200798762185697,-0.02100837542505566
0.34122499035561976,-0.03765436107866711
0.2714058778996815,-0.05509646679883005
0.1875470832186824,-0.07101506352007202
0.10020591624591968,-0.08188210009480454
0.013900227522036472,-0.08526725701843609
-0.07234729018214095,-0.08244586540241368
-0.15616273245267606,-0.07545002290522138
-0.23577552244726646,-0.0649966411830477
-0.3096059466237041,-0.05248048445206801
-0.37121708218327537,-0.0393202593241433
-0.41475741788325166,-0.02655412939432829
-0.4412355171876099,-0.016711551684369032
-0.4528775805757466,-0.011731350740865445
-0.4509715980122585,-0.010722931416062082
-0.4391329428431246,-0.012378016683197804
-0.42060906305186335,-0.01613853469378022
-0.3974828216113371,-0.020840144055248425
-0.37198131648518545,-0.025436862801733497
-0.34588136773553724,-0.029201892366250225
-0.3216000623412522,-0.030564210954651234
-0.3008600863752367,-0.028713126229668824
-0.2825679058143319,-0.025212387639218087
-0.2651917431107443,-0.021906408227028336
-0.24823041336660506,-0.019424811604975906
-0.23163321008512947,-0.01825503014824441
-0.2174713786991537,-0.018102047116063835
-0.20809386004844516,-0.017852342291140466
-0.20224200475081425,-0.01720007845898941
-0.1973995601709063,-0.016279282945084118
-0.19056012942842535,-0.01593178393337775
-0.17814611298309876,-0.017050254471223943
-0.159977916374846,-0.01834962288960785
-0.13819323636803538,-0.01874470665974824
-0.11591884522628491,-0.01964805594583909
-0.09725855394548609,-0.022079690672559903
-0.08338277952545511,-0.025525401816165496
-0.07327959791852502,-0.029726064240090038
-0.06477947835903912,-0.034303339404177735
-0.054845312135140385,-0.0383828551121372
-0.04394486838506689,-0.041661201011661
-0.03433119525983252,-0.04400534512688655
-0.028157552953956645,-0.045012385435700256
-0.0282545418052672,-0.04454757231474457
-0.03444353861598163,-0.04262833426748266
-0.0447096255141484,-0.0395671575243432
-0.05748371154107128,-0.036522805183125465
-0.07025125831887913,-0.03477607875589878
-0.08159083293036955,-0.03490852787475782
-0.09083069011382632,-0.03708001348523571
-0.09617512141442427,-0.04068809111412513
-0.09639742434538125,-0.044595603053637335
-0.09090899994110466,-0.048216425083116875
-0.07996536961571919,-0.05074263176604072
-0.06652311434437853,-0.050626700757639594
-0.05416400665700583,-0.04674115085379307
-0.04455705401346927,-0.03879403072086532
-0.038486567683961796,-0.02771743201937996
-0.034940106885943296,-0.016930145359064203
-0.0320049351323865,-0.01024654536506698
-0.030494809290649297,-0.008755269323785888
-0.03178223322114694,-0.011924609309662495
-0.03648194784078648,-0.017032314257668688
-0.04539395504877888,-0.020313298719738273
-0.05694507537714538,-0.021640665449507334
-0.06801426335439205,-0.022329018743894907
-0.07573424633284372,-0.02381967982719587
-0.07716483437826646,-0.02839589701290368
-0.07147876811571903,-0.03528005654759681
-0.06042191369738096,-0.04216348166610869
-0.04809636601373129,-0.04756217509328582
-0.03921597638651717,-0.04943351062290602
-0.03464713597323666,-0.047396656190948745
-0.03304080530109763,-0.04250050920232894
-0.03168243230840116,-0.0354574371850939
-0.026690567867374365,-0.027616148295219026
