,Maximum RR,Minimum RR,Average RR,Maximum BPM,Minimum BPM,Average BPM,SDNN
0,0.794264754918306,0.7702567522507504,0.7819273091030343,77.89610389610388,75.54156171284636,76.73347547974414,0.009812563500874939
1,0.8292764254751586,0.7762587529176395,0.8056018672890964,77.29381443298966,72.35223160434256,74.47847682119205,0.022012387387927927
2,0.7982660886962323,0.7062354118039347,0.7522507502500835,84.95750708215297,75.16290726817041,79.76063829787233,0.0460153384461488
3,0.8452817605868626,0.8142714238079359,0.8297765921973992,73.68550368550369,70.98224852071004,72.3086196503918,0.015505168389463309
4,-2.1907302434144715,-2.1907302434144715,-2.1907302434144715,-27.388127853881276,-27.388127853881276,-27.388127853881276,0.0
5,0.7802600866955653,0.7792597532510837,0.7797599199733245,76.99614890885752,76.89743589743588,76.9467607440667,0.0005001667222408468
6,0.822274091363788,0.814271423807936,0.8196065355118373,73.68550368550369,72.9683698296837,73.20585842148088,0.003772493664216294
7,0.8102700900300102,0.7672557519173058,0.788762920973658,78.20078226857888,74.04938271604937,76.06848446417247,0.021507169056352193
8,0.812270756918973,0.7862620873624542,0.7992664221407135,76.31043256997455,73.86699507389163,75.06883604505633,0.013004334778259408
9,0.5071690563521176,0.48816272090696905,0.4976658886295433,122.90983606557377,118.3037475345167,120.56281407035172,0.009503167722574285
10,0.7902634211403801,0.6672224074691564,0.7287429143047682,89.92503748125937,75.9240506329114,82.33356211393274,0.06152050683561183
11,0.8522840946982329,0.7932644214738245,0.8227742580860287,75.63682219419925,70.39906103286384,72.92401215805471,0.029509836612204188
12,0.8552850950316773,0.8202734244748249,0.8376125375125042,73.14634146341464,70.15204678362572,71.63216560509554,0.014295399206552905
13,0.7622540846948982,0.7442480826942315,0.7532510836945648,80.61827956989247,78.71391076115486,79.65471447543162,0.009003001000333355
14,0.7252417472490831,0.7142380793597866,0.7197399133044349,84.00560224089637,82.73103448275862,83.363446838082,0.00550183394464826
15,0.8462820940313436,0.8062687562520842,0.8262754251417139,74.4168734491315,70.89834515366431,72.61501210653752,0.02000666888962971
16,0.7012337445815271,0.6912304101367122,0.6962320773591196,86.80173661360348,85.56348074179743,86.17816091954023,0.005001667222407469
17,0.7212404134711572,0.6832277425808603,0.7022340780260088,87.81844802342607,83.1900138696255,85.44159544159544,0.01900633544514846
18,0.7932644214738248,0.7492497499166386,0.7712570856952317,80.0801068090788,75.63682219419923,77.79507133592737,0.022007335778593096
19,0.8272757585861955,0.8252750916972322,0.8262754251417139,72.70303030303032,72.52720677146311,72.61501210653752,0.001000333444481638
